threshold,policy,total_samples,acceptable_samples,unacceptable_samples,true_accepts,true_rejects,false_accepts,false_rejects,false_accept_rate,false_reject_rate,precision,recall,balanced_accuracy,acceptance_rate,rejection_rate
69.0,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
69.5,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
70.0,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
70.5,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
71.0,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
71.5,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
72.0,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
72.5,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
73.0,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
73.5,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
74.0,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
74.5,combined,44,19,25,18,4,21,1,0.8400,0.0526,0.4615,0.9474,0.5537,0.8864,0.1136
75.0,combined,44,19,25,18,5,20,1,0.8000,0.0526,0.4737,0.9474,0.5737,0.8636,0.1364
75.5,combined,44,19,25,18,5,20,1,0.8000,0.0526,0.4737,0.9474,0.5737,0.8636,0.1364
76.0,combined,44,19,25,18,5,20,1,0.8000,0.0526,0.4737,0.9474,0.5737,0.8636,0.1364
76.5,combined,44,19,25,18,5,20,1,0.8000,0.0526,0.4737,0.9474,0.5737,0.8636,0.1364
77.0,combined,44,19,25,18,5,20,1,0.8000,0.0526,0.4737,0.9474,0.5737,0.8636,0.1364
77.5,combined,44,19,25,18,5,20,1,0.8000,0.0526,0.4737,0.9474,0.5737,0.8636,0.1364
78.0,combined,44,19,25,18,6,19,1,0.7600,0.0526,0.4865,0.9474,0.5937,0.8409,0.1591
78.5,combined,44,19,25,18,6,19,1,0.7600,0.0526,0.4865,0.9474,0.5937,0.8409,0.1591
79.0,combined,44,19,25,18,6,19,1,0.7600,0.0526,0.4865,0.9474,0.5937,0.8409,0.1591
79.5,combined,44,19,25,18,6,19,1,0.7600,0.0526,0.4865,0.9474,0.5937,0.8409,0.1591
80.0,combined,44,19,25,17,6,19,2,0.7600,0.1053,0.4722,0.8947,0.5674,0.8182,0.1818
80.5,combined,44,19,25,17,6,19,2,0.7600,0.1053,0.4722,0.8947,0.5674,0.8182,0.1818
81.0,combined,44,19,25,17,6,19,2,0.7600,0.1053,0.4722,0.8947,0.5674,0.8182,0.1818
81.5,combined,44,19,25,17,6,19,2,0.7600,0.1053,0.4722,0.8947,0.5674,0.8182,0.1818
82.0,combined,44,19,25,17,6,19,2,0.7600,0.1053,0.4722,0.8947,0.5674,0.8182,0.1818
82.5,combined,44,19,25,17,7,18,2,0.7200,0.1053,0.4857,0.8947,0.5874,0.7955,0.2045
83.0,combined,44,19,25,17,7,18,2,0.7200,0.1053,0.4857,0.8947,0.5874,0.7955,0.2045
83.5,combined,44,19,25,17,7,18,2,0.7200,0.1053,0.4857,0.8947,0.5874,0.7955,0.2045
84.0,combined,44,19,25,17,7,18,2,0.7200,0.1053,0.4857,0.8947,0.5874,0.7955,0.2045
84.5,combined,44,19,25,17,7,18,2,0.7200,0.1053,0.4857,0.8947,0.5874,0.7955,0.2045
85.0,combined,44,19,25,17,8,17,2,0.6800,0.1053,0.5000,0.8947,0.6074,0.7727,0.2273
